id	perc_enrichment_study	perc_enrichment_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	p_benjamini_hochberg	description	ANs_study
.......GO:0090595	1.2	0.3	4.33	13	1125	3	1125	0.0208	0.629	acetyl-CoA:L-lysine N6-acetyltransferase	P32494,P43572,P53165,P60010,P80428,Q02336,Q02908,Q03330,Q04003,Q07794,Q08649,Q12433,Q99314
......GO:0033698	0.7	0.2	4.00	8	1125	2	1125	0.109	1	Rpd3L complex	P22579,P31385,P32561,P38255,P39001,P40505,Q07458,Q08923
..........GO:2001173	0.4	0.1	4.00	4	1125	1	1125	0.374	1	regulation of histone H2B conserved C-terminal lysine ubiquitination	P38351,P53064,P89105,Q06697
....GO:0034401	0.4	0.1	4.00	4	1125	1	1125	0.374	1	chromatin organization involved in regulation of transcription	P21951,P25554,P38144,P40161
.....GO:0071930	0.4	0.1	4.00	4	1125	1	1125	0.374	1	negative regulation of transcription involved in G1/S transition of mitotic cell cycle	P34161,P40466,P41813,Q04116
.....GO:0071931	0.4	0.1	4.00	4	1125	1	1125	0.374	1	positive regulation of transcription involved in G1/S transition of mitotic cell cycle	P09959,P23615,P25302,P39678
.....GO:0097549	0.4	0.1	4.00	4	1125	1	1125	0.374	1	chromatin organization involved in negative regulation of transcription	P21951,P25554,P38144,P40161
...GO:0051204	0.4	0.1	4.00	4	1125	1	1125	0.374	1	protein insertion into mitochondrial membrane	P38300,P39952,Q06493,Q08179
....GO:0016574	0.4	0.1	4.00	4	1125	1	1125	0.374	1	histone ubiquitination	P32447,P32657,Q05580,Q07457
...GO:0042575	0.4	0.1	4.00	4	1125	1	1125	0.374	1	DNA polymerase complex	P15436,P21951,P46957,P47110
.....GO:1990269	0.4	0.1	4.00	4	1125	1	1125	0.374	1	RNA polymerase II C-terminal domain phosphoserine binding	P38351,P53064,P89105,Q06697
......GO:0000350	0.4	0.1	4.00	4	1125	1	1125	0.374	1	generation of catalytic spliceosome for second transesterification step	P24384,P28004,P33411,Q02775
.....GO:0034723	0.4	0.1	4.00	4	1125	1	1125	0.374	1	DNA replication-dependent nucleosome organization	P13712,P32447,P40161,Q12495
....GO:0071012	0.4	0.1	4.00	4	1125	1	1125	0.374	1	catalytic step 1 spliceosome	P20095,P28004,P28320,Q12309
......GO:0006335	0.4	0.1	4.00	4	1125	1	1125	0.374	1	DNA replication-dependent nucleosome assembly	P13712,P32447,P40161,Q12495
.....GO:0071006	0.4	0.1	4.00	4	1125	1	1125	0.374	1	U2-type catalytic step 1 spliceosome	P20095,P28004,P28320,Q12309
......GO:0034398	0.4	0.1	4.00	4	1125	1	1125	0.374	1	telomere tethering at nuclear periphery	P39705,P40457,P49687,Q02455
.......GO:0031573	0.4	0.1	4.00	4	1125	1	1125	0.374	1	intra-S DNA damage checkpoint	P21951,P25588,P35187,Q07457
........GO:2000219	0.4	0.1	4.00	4	1125	1	1125	0.374	1	positive regulation of invasive growth in response to glucose limitation	P18480,P19659,P22082,P38255
...GO:0060303	0.4	0.1	4.00	4	1125	1	1125	0.374	1	regulation of nucleosome density	P23615,P32657,P38144,Q06505
....GO:0072396	0.4	0.1	4.00	4	1125	1	1125	0.374	1	response to cell cycle checkpoint signaling	P40457,Q02455,Q03790,Q99383
.........GO:0051569	0.4	0.1	4.00	4	1125	1	1125	0.374	1	regulation of histone H3-K4 methylation	P23293,P38351,P53064,P89105
.........GO:1901409	0.4	0.1	4.00	4	1125	1	1125	0.374	1	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	P38351,P53064,P89105,Q06697
....GO:0070828	0.4	0.1	4.00	4	1125	1	1125	0.374	1	heterochromatin organization	P21951,P25554,P38144,P40161
.......GO:0031062	0.4	0.1	4.00	4	1125	1	1125	0.374	1	positive regulation of histone methylation	P23293,P38351,P89105,Q06697
......GO:0043649	0.4	0.1	4.00	4	1125	1	1125	0.374	1	dicarboxylic acid catabolic process	P33327,P38137,Q01802,Q04792
........GO:0060962	0.4	0.1	4.00	4	1125	1	1125	0.374	1	regulation of ribosomal protein gene transcription from RNA polymerase II promoter	P32432,P39520,P39521,Q03973
.GO:0016530	0.4	0.1	4.00	4	1125	1	1125	0.374	1	metallochaperone activity	P38636,P40202,Q07540,Q12287
...GO:0071216	0.4	0.1	4.00	4	1125	1	1125	0.374	1	cellular response to biotic stimulus	P40457,Q02455,Q03790,Q99383
.....GO:0000733	0.4	0.1	4.00	4	1125	1	1125	0.374	1	DNA strand renaturation	P06778,P32787,P38859,P40151
.....GO:0070868	0.4	0.1	4.00	4	1125	1	1125	0.374	1	heterochromatin organization involved in chromatin silencing	P21951,P25554,P38144,P40161
.........GO:2001163	0.4	0.1	4.00	4	1125	1	1125	0.374	1	regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues	P38351,P53064,P89105,Q06697
..........GO:2001165	0.4	0.1	4.00	4	1125	1	1125	0.374	1	positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues	P38351,P53064,P89105,Q06697
........GO:0030174	1.0	0.3	3.67	11	1125	3	1125	0.0566	1	regulation of DNA-dependent DNA replication initiation	P09798,P22579,P31385,P32561,P38803,P38883,P40466,P41813,Q04779,Q07457,Q08923
.....GO:0070461	1.0	0.3	3.67	11	1125	3	1125	0.0566	1	SAGA-type complex	P25554,P32494,P32657,P35177,P38129,P53040,P53165,Q02336,Q03330,Q03761,Q12060
...GO:0000981	2.5	0.7	3.50	28	1125	8	1125	0.00109	0.0786	sequence-specific DNA binding RNA polymerase II transcription factor activity	P07248,P12383,P13393,P14164,P17106,P22035,P23255,P25302,P25502,P35189,P38129,P38351,P39001,P39678,P39956,P40466,P40489,P40535,P41696,P50105,P53040,Q03750,Q03761,Q03833,Q04226,Q05021,Q05958,Q06639
....GO:0000118	1.2	0.4	3.50	14	1125	4	1125	0.0302	0.804	histone deacetylase complex	P14832,P22579,P25357,P31385,P32561,P36124,P38255,P39001,P40505,P53973,Q04779,Q06629,Q07458,Q08923
....GO:0000982	1.2	0.4	3.50	14	1125	4	1125	0.0302	0.804	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity	P07248,P12383,P14164,P17106,P25302,P25502,P39001,P39678,P39956,P40466,P40535,P41696,Q03833,Q05958
.....GO:0016514	0.6	0.2	3.50	7	1125	2	1125	0.179	1	SWI/SNF complex	P18480,P18888,P22082,P32591,P35189,P53628,Q05123
..GO:0044615	0.6	0.2	3.50	7	1125	2	1125	0.179	1	nuclear pore nuclear basket	P14907,P20676,P32499,P39705,P40457,Q02455,Q03790
......GO:0043189	0.6	0.2	3.50	7	1125	2	1125	0.179	1	H4/H2A histone acetyltransferase complex	P43572,P60010,P80428,Q04003,Q06337,Q08649,Q99314
.....GO:0042766	0.6	0.2	3.50	7	1125	2	1125	0.179	1	nucleosome mobilization	P22082,P32657,P35189,P43579,P53946,Q05123,Q12345
.......GO:0035267	0.6	0.2	3.50	7	1125	2	1125	0.179	1	NuA4 histone acetyltransferase complex	P43572,P60010,P80428,Q04003,Q06337,Q08649,Q99314
....GO:0090544	0.6	0.2	3.50	7	1125	2	1125	0.179	1	BAF-type complex	P18480,P18888,P22082,P32591,P35189,P53628,Q05123
.....GO:1902562	0.6	0.2	3.50	7	1125	2	1125	0.179	1	H4 histone acetyltransferase complex	P43572,P60010,P80428,Q04003,Q06337,Q08649,Q99314
........GO:0045991	0.6	0.2	3.50	7	1125	2	1125	0.179	1	carbon catabolite activation of transcription	P01120,P07248,P18480,P32591,P38931,P39073,P40535
.......GO:0090329	1.5	0.4	3.40	17	1125	5	1125	0.0164	0.525	regulation of DNA-dependent DNA replication	P06786,P09798,P22579,P25588,P31378,P31385,P32561,P32657,P36775,P38803,P38883,P40466,P41813,Q04779,Q06639,Q07457,Q08923
....GO:0000123	1.8	0.5	3.33	20	1125	6	1125	0.00896	0.346	histone acetyltransferase complex	P25554,P32494,P32657,P35177,P35189,P38129,P43572,P53040,P53165,P60010,P80428,Q02336,Q03330,Q03761,Q04003,Q06337,Q08649,Q12060,Q12433,Q99314
.....GO:0001102	0.9	0.3	3.33	10	1125	3	1125	0.0914	1	RNA polymerase II activating transcription factor binding	P07248,P13393,P17106,P18480,P19659,P22082,P29311,P50105,P53040,Q03761
......GO:0090054	0.9	0.3	3.33	10	1125	3	1125	0.0914	1	regulation of chromatin silencing at silent mating-type cassette	P22579,P31385,P32561,P35817,P38255,P40466,P40505,P41813,Q08923,Q12363
....GO:0016573	2.0	0.6	3.29	23	1125	7	1125	0.00494	0.222	histone acetylation	P25554,P32447,P32494,P35177,P35189,P38129,P43572,P52910,P53040,P53165,P60010,P80428,Q01574,Q02336,Q02908,Q03330,Q03761,Q04003,Q07794,Q08649,Q12060,Q12433,Q99314
........GO:0006475	2.0	0.6	3.29	23	1125	7	1125	0.00494	0.222	internal protein amino acid acetylation	P25554,P32447,P32494,P35177,P35189,P38129,P43572,P52910,P53040,P53165,P60010,P80428,Q01574,Q02336,Q02908,Q03330,Q03761,Q04003,Q07794,Q08649,Q12060,Q12433,Q99314
.........GO:0018393	2.0	0.6	3.29	23	1125	7	1125	0.00494	0.222	internal peptidyl-lysine acetylation	P25554,P32447,P32494,P35177,P35189,P38129,P43572,P52910,P53040,P53165,P60010,P80428,Q01574,Q02336,Q02908,Q03330,Q03761,Q04003,Q07794,Q08649,Q12060,Q12433,Q99314
........GO:0018394	2.0	0.6	3.29	23	1125	7	1125	0.00494	0.222	peptidyl-lysine acetylation	P25554,P32447,P32494,P35177,P35189,P38129,P43572,P52910,P53040,P53165,P60010,P80428,Q01574,Q02336,Q02908,Q03330,Q03761,Q04003,Q07794,Q08649,Q12060,Q12433,Q99314
..........GO:0015616	1.2	0.4	3.25	13	1125	4	1125	0.0482	1	DNA translocase activity	P18480,P18888,P22082,P32591,P32597,P32832,P35189,P38086,P43609,P53628,Q02206,Q05123,Q06639
...GO:0042393	2.0	0.6	3.14	22	1125	7	1125	0.00774	0.308	histone binding	P13712,P16649,P22082,P23615,P25554,P32447,P32558,P32591,P32597,P32657,P35817,P36124,P40019,P40161,P43583,P80428,Q02206,Q03012,Q03330,Q03388,Q08923,Q12495
.......GO:0001012	1.3	0.4	3.00	15	1125	5	1125	0.0405	0.997	RNA polymerase II regulatory region DNA binding	P07248,P13393,P14164,P17106,P20134,P25502,P34161,P39001,P40466,P41696,P41813,Q03833,Q04116,Q05958,Q12692
.......GO:0000977	1.3	0.4	3.00	15	1125	5	1125	0.0405	0.997	RNA polymerase II regulatory region sequence-specific DNA binding	P07248,P13393,P14164,P17106,P20134,P25502,P34161,P39001,P40466,P41696,P41813,Q03833,Q04116,Q05958,Q12692
......GO:0043044	1.3	0.4	3.00	15	1125	5	1125	0.0405	0.997	ATP-dependent chromatin remodeling	P16649,P22082,P32447,P32591,P32597,P32657,P32832,P38144,P43583,P43609,Q02206,Q03388,Q03940,Q05123,Q06639
........GO:0000978	1.1	0.4	3.00	12	1125	4	1125	0.0758	1	RNA polymerase II core promoter proximal region sequence-specific DNA binding	P07248,P14164,P17106,P20134,P25502,P39001,P40466,P41696,P41813,Q03833,Q05958,Q12692
......GO:0008408	0.8	0.3	3.00	9	1125	3	1125	0.145	1	3'-5' exonuclease activity	P13382,P15436,P21951,P22936,P46957,P47110,Q08162,Q08237,Q12149
........GO:0071028	0.8	0.3	3.00	9	1125	3	1125	0.145	1	nuclear mRNA surveillance	P25555,P38801,P38996,P47047,P48240,P53617,P53725,Q02792,Q08162
....GO:0000972	0.8	0.3	3.00	9	1125	3	1125	0.145	1	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	P20676,P25502,P32499,P38801,P39705,P40457,P49687,Q04002,Q12149
.......GO:0045910	0.5	0.2	3.00	6	1125	2	1125	0.288	1	negative regulation of DNA recombination	P32561,P35187,P38351,P40562,P53551,Q06697
....GO:0005847	0.5	0.2	3.00	6	1125	2	1125	0.288	1	mRNA cleavage and polyadenylation specificity factor complex	P29468,P39927,P42073,P45976,Q01329,Q06224
......GO:0061187	0.5	0.2	3.00	6	1125	2	1125	0.288	1	regulation of chromatin silencing at rDNA	P22579,P31385,P32561,P38255,P40505,Q08923
......GO:0010506	0.5	0.2	3.00	6	1125	2	1125	0.288	1	regulation of autophagy	P17157,P32561,P35169,P43572,Q06671,Q08649
........GO:0030847	0.5	0.2	3.00	6	1125	2	1125	0.288	1	termination of RNA polymerase II transcription, exosome-dependent	P38996,P39927,P53617,Q01329,Q02555,Q02792
......GO:0044774	0.5	0.2	3.00	6	1125	2	1125	0.288	1	mitotic DNA integrity checkpoint	P06786,P21951,P25588,P35187,P38891,Q07457
.....GO:0016584	0.5	0.2	3.00	6	1125	2	1125	0.288	1	nucleosome positioning	P14922,P16649,P32597,P32657,Q05123,Q06639
....GO:0016586	0.5	0.2	3.00	6	1125	2	1125	0.288	1	RSC complex	P32597,P32832,P43609,Q02206,Q05123,Q06639
.....GO:0006273	0.5	0.2	3.00	6	1125	2	1125	0.288	1	lagging strand elongation	P13382,P15873,P38121,P38859,P46957,P47110
.....GO:0006272	0.5	0.2	3.00	6	1125	2	1125	0.288	1	leading strand elongation	P15873,P21951,P38630,P40348,P46957,P47110
.....GO:0009313	0.5	0.2	3.00	6	1125	2	1125	0.288	1	oligosaccharide catabolic process	P18480,P18888,P22082,P32356,P32591,P38158
....GO:0046352	0.5	0.2	3.00	6	1125	2	1125	0.288	1	disaccharide catabolic process	P18480,P18888,P22082,P32356,P32591,P38158
......GO:0051785	0.3	0.1	3.00	3	1125	1	1125	0.625	1	positive regulation of nuclear division	P09959,P14832,P39001
........GO:0031070	0.3	0.1	3.00	3	1125	1	1125	0.625	1	intronic snoRNA processing	P38336,P41812,P53833
...GO:0030677	0.3	0.1	3.00	3	1125	1	1125	0.625	1	ribonuclease P complex	P38336,P41812,P53833
....GO:0070827	0.3	0.1	3.00	3	1125	1	1125	0.625	1	chromatin maintenance	P23615,P38144,Q06505
....GO:0034367	0.3	0.1	3.00	3	1125	1	1125	0.625	1	macromolecular complex remodeling	P29055,P29056,P46678
.......GO:0001015	0.3	0.1	3.00	3	1125	1	1125	0.625	1	snoRNA transcription from an RNA polymerase II promoter	P38351,P53064,P89105
.......GO:0006363	0.3	0.1	3.00	3	1125	1	1125	0.625	1	termination of RNA polymerase I transcription	P21538,P32657,P38144
.....GO:0001120	0.3	0.1	3.00	3	1125	1	1125	0.625	1	protein-DNA complex remodeling	P29055,P29056,P46678
.......GO:0004526	0.3	0.1	3.00	3	1125	1	1125	0.625	1	ribonuclease P activity	P38336,P41812,P53833
........GO:2000105	0.3	0.1	3.00	3	1125	1	1125	0.625	1	positive regulation of DNA-dependent DNA replication	P31378,P40466,P41813
........GO:2000104	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of DNA-dependent DNA replication	P09798,P25588,P32657
.....GO:0032387	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of intracellular transport	P40075,P40457,Q02455
...GO:0001007	0.3	0.1	3.00	3	1125	1	1125	0.625	1	RNA polymerase III transcription factor binding transcription factor activity	P13393,P29056,P46678
....GO:0017025	0.3	0.1	3.00	3	1125	1	1125	0.625	1	TBP-class protein binding	P29055,P29056,Q03761
....GO:0000172	0.3	0.1	3.00	3	1125	1	1125	0.625	1	ribonuclease MRP complex	P38336,P41812,P53833
......GO:0000171	0.3	0.1	3.00	3	1125	1	1125	0.625	1	ribonuclease MRP activity	P38336,P41812,P53833
......GO:1900088	0.3	0.1	3.00	3	1125	1	1125	0.625	1	regulation of inositol biosynthetic process	P17106,P31385,P39001
..GO:0016531	0.3	0.1	3.00	3	1125	1	1125	0.625	1	copper chaperone activity	P38636,P40202,Q12287
.....GO:0071007	0.3	0.1	3.00	3	1125	1	1125	0.625	1	U2-type catalytic step 2 spliceosome	P24384,P28004,Q12309
......GO:0001109	0.3	0.1	3.00	3	1125	1	1125	0.625	1	promoter clearance during DNA-templated transcription	P35189,P41895,P41896
........GO:0007068	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of transcription during mitosis	P14922,P16649,P39001
.......GO:0090089	0.3	0.1	3.00	3	1125	1	1125	0.625	1	regulation of dipeptide transport	P14922,P16649,P19812
........GO:0000409	0.3	0.1	3.00	3	1125	1	1125	0.625	1	regulation of transcription by galactose	P01120,P38931,P39073
....GO:0071013	0.3	0.1	3.00	3	1125	1	1125	0.625	1	catalytic step 2 spliceosome	P24384,P28004,Q12309
....GO:0071014	0.3	0.1	3.00	3	1125	1	1125	0.625	1	post-mRNA release spliceosomal complex	P28004,Q06411,Q12309
......GO:0006336	0.3	0.1	3.00	3	1125	1	1125	0.625	1	DNA replication-independent nucleosome assembly	P32447,P40161,Q01448
......GO:0001112	0.3	0.1	3.00	3	1125	1	1125	0.625	1	DNA-templated transcriptional open complex formation	P29055,P29056,P46678
.......GO:0001111	0.3	0.1	3.00	3	1125	1	1125	0.625	1	promoter clearance from RNA polymerase II promoter	P35189,P41895,P41896
.....GO:0001103	0.3	0.1	3.00	3	1125	1	1125	0.625	1	RNA polymerase II repressing transcription factor binding	P17106,P19263,P20134
...GO:0007535	0.3	0.1	3.00	3	1125	1	1125	0.625	1	donor selection	P15790,P19454,P40466
.......GO:0046823	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of nucleocytoplasmic transport	P40075,P40457,Q02455
.........GO:0000411	0.3	0.1	3.00	3	1125	1	1125	0.625	1	positive regulation of transcription by galactose	P01120,P38931,P39073
........GO:0000416	0.3	0.1	3.00	3	1125	1	1125	0.625	1	positive regulation of histone H3-K36 methylation	P38351,P89105,Q06697
.....GO:0001105	0.3	0.1	3.00	3	1125	1	1125	0.625	1	RNA polymerase II transcription coactivator activity	P09959,P19659,P38931
.....GO:0090087	0.3	0.1	3.00	3	1125	1	1125	0.625	1	regulation of peptide transport	P14922,P16649,P19812
......GO:0097472	0.3	0.1	3.00	3	1125	1	1125	0.625	1	cyclin-dependent protein kinase activity	P17157,P23293,P39073
.......GO:0060631	0.3	0.1	3.00	3	1125	1	1125	0.625	1	regulation of meiosis I	P09959,P32561,P35187
......GO:0000349	0.3	0.1	3.00	3	1125	1	1125	0.625	1	generation of catalytic spliceosome for first transesterification step	P20095,P28320,Q06411
........GO:0045996	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of transcription by pheromones	P13574,Q03063,Q03373
......GO:0045764	0.3	0.1	3.00	3	1125	1	1125	0.625	1	positive regulation of cellular amino acid metabolic process	P25502,P31385,P39001
......GO:0045836	0.3	0.1	3.00	3	1125	1	1125	0.625	1	positive regulation of meiotic nuclear division	P09959,P14832,P39001
.....GO:0072417	0.3	0.1	3.00	3	1125	1	1125	0.625	1	response to spindle checkpoint signaling	P40457,Q02455,Q03790
..GO:0000313	0.3	0.1	3.00	3	1125	1	1125	0.625	1	organellar ribosome	P07253,P19955,P21560
.....GO:0090576	0.3	0.1	3.00	3	1125	1	1125	0.625	1	RNA polymerase III transcription factor complex	P13393,P29056,P46678
......GO:0033240	0.3	0.1	3.00	3	1125	1	1125	0.625	1	positive regulation of cellular amine metabolic process	P25502,P31385,P39001
....GO:0045595	0.3	0.1	3.00	3	1125	1	1125	0.625	1	regulation of cell differentiation	P22082,P32591,P53860
......GO:1903650	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of cytoplasmic transport	P40075,P40457,Q02455
.....GO:0034967	0.3	0.1	3.00	3	1125	1	1125	0.625	1	Set3 complex	P14832,P25357,P36124
...GO:0042816	0.3	0.1	3.00	3	1125	1	1125	0.625	1	vitamin B6 metabolic process	P38075,Q06494,Q12189
.......GO:0071041	0.3	0.1	3.00	3	1125	1	1125	0.625	1	antisense RNA transcript catabolic process	P38996,P53617,Q12149
.........GO:0046020	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of transcription from RNA polymerase II promoter by pheromones	P13574,Q03063,Q03373
........GO:0046021	0.3	0.1	3.00	3	1125	1	1125	0.625	1	regulation of transcription from RNA polymerase II promoter, mitotic	P14922,P16649,P39001
...GO:0006276	0.3	0.1	3.00	3	1125	1	1125	0.625	1	plasmid maintenance	P03871,P03872,Q04002
....GO:0030681	0.3	0.1	3.00	3	1125	1	1125	0.625	1	multimeric ribonuclease P complex	P38336,P41812,P53833
.....GO:0001091	0.3	0.1	3.00	3	1125	1	1125	0.625	1	RNA polymerase II basal transcription factor binding	P07248,P19659,P35817
.....GO:0005655	0.3	0.1	3.00	3	1125	1	1125	0.625	1	nucleolar ribonuclease P complex	P38336,P41812,P53833
......GO:0009302	0.3	0.1	3.00	3	1125	1	1125	0.625	1	snoRNA transcription	P38351,P53064,P89105
.........GO:2001255	0.3	0.1	3.00	3	1125	1	1125	0.625	1	positive regulation of histone H3-K36 trimethylation	P38351,P89105,Q06697
..........GO:2001253	0.3	0.1	3.00	3	1125	1	1125	0.625	1	regulation of histone H3-K36 trimethylation	P38351,P89105,Q06697
.......GO:0004693	0.3	0.1	3.00	3	1125	1	1125	0.625	1	cyclin-dependent protein serine/threonine kinase activity	P17157,P23293,P39073
......GO:0042868	0.3	0.1	3.00	3	1125	1	1125	0.625	1	antisense RNA metabolic process	P38996,P53617,Q12149
.....GO:0010529	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of transposition	P38850,Q05543,Q07794
......GO:0010526	0.3	0.1	3.00	3	1125	1	1125	0.625	1	negative regulation of transposition, RNA-mediated	P38850,Q05543,Q07794
