# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr	ANs_study	ANs_pop
GO:0000061	e	protein import into nucleus, substrate release	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P32499	
GO:0000062	p	fatty-acyl-CoA binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P31787	P31787
GO:0000070	p	mitotic sister chromatid segregation	4/1159	4/1159	1	2.57e+03	1.87e+03	2.51e+03	n.a.	P21965,P35187,P40316,Q03707	P02557,P09733,P09734,P21965,P27895,P28742,P32908,P35187,P36022,P38170,P38989,P39723,P40577,Q03707,Q05949,Q06156,Q06680,Q12267
GO:0000076	e	DNA replication checkpoint	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P25588,P40348	P25588,P31384,P32598,P40348,P47027,P53840,Q04659
GO:0000077	p	DNA damage checkpoint	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P29311,P34730,P34760	P15442,P22216,P29311,P32598,P34217,P34730,P34760,P38111,P38147,P39009,P39966,P48581,Q02574,Q04089,Q04377
GO:0000082	p	G1/S transition of mitotic cell cycle	5/1159	6/1159	1	2.57e+03	1.19e+03	2.51e+03	n.a.	P14682,P41920,P43609,Q06639,Q12018	P07834,P14682,P20604,P23594,P23595,P24814,P25333,P33306,P36123,P38634,P39014,P40454,P40856,P40968,P41920,P43609,P43612,P47116,P52286,P53036,Q03785,Q06639,Q07657,Q07979,Q08273,Q08471,Q12018
GO:0000083	e	regulation of transcription involved in G1/S transition of mitotic cell cycle	5/1159	2/1159	0.452	1.16e+03	1.07e+03	1.14e+03	n.a.	P17157,P32561,P38351,P89105,Q01448	P08153,P17157,P21192,P22696,P32561,P36157,P38351,P39014,P42845,P89105,Q01448,Q02959,Q08471
GO:0000086	e	G2/M transition of mitotic cell cycle	6/1159	3/1159	0.507	1.31e+03	1.16e+03	1.27e+03	n.a.	P14682,P32597,Q02206,Q02724,Q06639,Q12018	P07834,P14682,P23748,P24868,P25632,P32597,P34217,P34244,P38274,P43568,P52286,Q02206,Q02724,Q03124,Q06168,Q06639,Q12018,Q9URQ5
GO:0000096	e	sulfur amino acid metabolic process	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P08465,P32389,Q02196	P08465,P08536,P18408,Q02196,Q12525
GO:0000104	p	succinate dehydrogenase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32614	P21375,P32614
GO:0000105	e	histidine biosynthetic process	5/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P00498,P00815,P07245,P09440,P40545	P00498,P00815,P07172,P07245,P09440,P33734,P38635,P40545
GO:0000112	e	nucleotide-excision repair factor 3 complex	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32776,Q04673	P06839,P07276,P32776,Q00578,Q02939,Q04673,Q12004
GO:0000113	e	nucleotide-excision repair factor 4 complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P14164	
GO:0000117	e	regulation of transcription involved in G2/M transition of mitotic cell cycle	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P22579,P32561	P22579,P22696,P32561
GO:0000118	e	histone deacetylase complex	4/1159	2/1159	0.687	1.77e+03	1.48e+03	1.72e+03	n.a.	P14832,P25357,P32561,Q04779	P14832,P25357,P32561,P38429,P50947,Q04779
GO:0000121	e	glycerol-1-phosphatase activity	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40106,P41277	P40106,P41277
GO:0000122	e	negative regulation of transcription from RNA polymerase II promoter	33/1159	14/1159	0.00733	18.9	18.8	18.4	n.a.	P02293,P04911,P06843,P14164,P14922,P16649,P17106,P17157,P19263,P19659,P21957,P22579,P23615,P29311,P31385,P32561,P33417,P38140,P38255,P38351,P38931,P39073,P39956,P40161,P40489,P40505,P53064,P53272,P53973,Q03833,Q04116,Q06629,Q2V2Q1	P02293,P04387,P04911,P06843,P07250,P08638,P11938,P13483,P14164,P14922,P16649,P17106,P17157,P19263,P19659,P21957,P22579,P22696,P23615,P25042,P25648,P27705,P28006,P29311,P31380,P31385,P32259,P32338,P32479,P32480,P32561,P33308,P33400,P33417,P34072,P35208,P35729,P36106,P36161,P38255,P38304,P38351,P38904,P38915,P38931,P39073,P39956,P40096,P40161,P40340,P40356,P40489,P40505,P42944,P47821,P47822,P48743,P53064,P53272,P53973,P54785,Q00816,Q01532,Q02100,Q03125,Q03833,Q04116,Q06213,Q06623,Q06629,Q08278,Q12124,Q12321,Q12442,Q92317,Q99278
GO:0000123	p	histone acetyltransferase complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q06337	P39984,P53201,Q06337,Q12341,Q12373,Q12432
GO:0000124	e	SAGA complex	11/1159	2/1159	0.0221	56.9	56.5	55.5	n.a.	P25554,P32494,P32657,P35177,P38129,P53040,P53165,Q02336,Q03330,Q03761,Q12060	P06844,P25554,P32494,P32657,P35177,P38129,P38811,P38915,P50102,P50875,P53040,P53165,Q02336,Q03067,Q03330,Q03761,Q05027,Q12030,Q12060,Q6WNK7
GO:0000126	e	transcription factor TFIIIB complex	3/1159	0/1159	0.25	643	615	627	n.a.	P13393,P29056,P46678	
GO:0000131	p	incipient cellular bud site	4/1159	9/1159	0.265	684	649	666	n.a.	P06787,P07560,P38249,P39960	P06780,P06787,P07560,P08964,P11433,P19073,P19524,P19658,P22224,P23201,P25389,P27637,P29366,P29465,P32364,P32464,P32566,P32855,P32873,P32900,P33332,P33338,P34226,P35688,P36166,P36169,P37370,P38249,P38261,P38692,P38785,P39944,P39960,P40091,P40468,P41697,P41698,P41832,P48559,P48566,P50111,P51862,P53301,P53599,P53858,P53894,P89102,Q00246,Q03497,Q04322,Q06324,Q06412,Q06648,Q08817,Q12344
GO:0000132	p	establishment of mitotic spindle orientation	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P60010	P19524,P36022,P36224,P39946,P41832,P53086,P53924,P60010
GO:0000136	p	alpha-1,6-mannosyltransferase complex	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P47124	P23642,P32629,P39107,P46985,P47124,P50108
GO:0000139	p	Golgi membrane	11/1159	26/1159	0.0191	49.2	48.9	48	n.a.	P01123,P22217,P24280,P25365,P34237,P35169,P39010,P53079,P53192,Q06704,Q12402	P01123,P13586,P15303,P16664,P20606,P22140,P22213,P22214,P22217,P22803,P22804,P24280,P25365,P25385,P25386,P25560,P25641,P26725,P27809,P27810,P31755,P32486,P32621,P32803,P32857,P34237,P35169,P35844,P35845,P36029,P36051,P36096,P37020,P37296,P38069,P38166,P38301,P38555,P38682,P38736,P38810,P38932,P38968,P39010,P39106,P40009,P40056,P40071,P40094,P40107,P40395,P40482,P40527,P40549,P41318,P43682,P46989,P47818,P48415,P48563,P51996,P53059,P53079,P53093,P53173,P53192,P53195,P53271,P53633,P53951,P53953,P53959,P54837,Q01590,Q02896,Q03921,Q04410,Q04491,Q04632,Q06096,Q06147,Q06389,Q06704,Q06836,Q08826,Q12096,Q12142,Q12234,Q12239,Q12246,Q12270,Q12382,Q12396,Q12402,Q8TGJ3,Q92331
GO:0000142	p	cellular bud neck contractile ring	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P17536,P60010	P08964,P17536,P24814,P25558,P40414,P47136,P53901,P60010,Q05080,Q06580,Q07533
GO:0000144	p	cellular bud neck septin ring	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P32457,P32468	P25342,P32457,P32458,P32468,P32623,P34226,P53890,Q05080,Q07657
GO:0000147	p	actin cortical patch assembly	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15891,P32521,P38266	P15891,P25623,P32521,P32790,P33204,P38266,P39013,P40494,P40518,P47160,P53974,Q05785,Q07872,Q12518
GO:0000149	p	SNARE binding	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P01123	P01123,P22213,P30619,P32844,P38932,P39531,P40087,Q12038
GO:0000150	p	recombinase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06778	P06778,P25454,Q06630
GO:0000154	e	rRNA modification	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P33322,Q06506,Q12460	P25270,P33322,P41819,Q06506,Q12460
GO:0000159	p	protein phosphatase type 2A complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P31383	P23594,P31383,P38903,Q00362,Q12461
GO:0000161	p	MAPK cascade involved in osmosensory signaling pathway	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06101	P06101,P23561,P25344,P53599
GO:0000162	e	tryptophan biosynthetic process	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P00899,P00931,P00937	P00899,P00912,P00931,P00937,P07285
GO:0000164	p	protein phosphatase type 1 complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P36047	P28006,P32598,P36047,P40036,Q00816
GO:0000165	p	MAPK cascade	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q01389	P14681,P16892,P32485,P32490,P32491,Q00772,Q01389,Q03497
GO:0000166	e	nucleotide binding	36/1159	24/1159	0.15	385	375	376	n.a.	P04147,P04456,P0CX31,P10080,P13382,P15436,P21951,P25555,P27476,P33399,P34167,P36036,P36084,P37838,P38833,P38996,P39927,P47119,P50094,P50095,P53063,P53617,P53743,P53883,P53927,Q00916,Q01560,Q04067,Q04178,Q04344,Q06106,Q08208,Q08925,Q12149,Q12159,Q99383	P04147,P04456,P05066,P06103,P0CX31,P10080,P13382,P15436,P20433,P21524,P21951,P25299,P25555,P27476,P32319,P32588,P32605,P32770,P32831,P32843,P33399,P34167,P34217,P34761,P34909,P36036,P36084,P37838,P38697,P38741,P38833,P38922,P38996,P39927,P39985,P40165,P40438,P40561,P40567,P47076,P47119,P47135,P48412,P49775,P49960,P50094,P50095,P53061,P53063,P53316,P53617,P53743,P53830,P53883,P53927,Q00539,Q00916,Q01560,Q03735,Q04067,Q04178,Q04344,Q06106,Q07623,Q07655,Q08208,Q08287,Q08831,Q08920,Q08925,Q12046,Q12149,Q12159,Q12221,Q99181,Q99383
GO:0000171	e	ribonuclease MRP activity	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P38336,P41812,P53833	P28005,P38208,P38291,P38336,P38786,P41812,P53218,P53833
GO:0000172	e	ribonuclease MRP complex	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P38336,P41812,P53833	P28005,P38208,P38291,P38336,P38786,P41812,P53218,P53833,Q12530
GO:0000175	p	3'-5'-exoribonuclease activity	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	Q08162,Q12149	P31384,P39008,P53331,P54964,Q08162,Q12090,Q12149
GO:0000176	e	nuclear exosome (RNase complex)	6/1159	4/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P38801,P48240,P53725,Q02821,Q08162,Q12149	P25359,P38792,P38801,P46948,P48240,P53256,P53725,P53859,Q02821,Q05636,Q06142,Q08162,Q08285,Q12149,Q12277
GO:0000177	p	cytoplasmic exosome (RNase complex)	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P48240,Q08162	P25359,P38792,P46948,P48240,P53256,P53859,Q05636,Q08162,Q08285,Q08491,Q12277
GO:0000182	e	rDNA binding	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32657,P38144	P32657,P32914,P38144,P47035
GO:0000183	e	chromatin silencing at rDNA	5/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38351,P38827,P53184,Q02336,Q08649	O13329,P04786,P06700,P31380,P35208,P36115,P38351,P38827,P39683,P40059,P47035,P53184,P53686,P54786,Q02208,Q02336,Q04087,Q05874,Q08649,Q08773,Q12457
GO:0000184	p	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	4/1159	5/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P07260,P22147,P24783,Q99383	P07260,P22147,P24783,P30771,P32588,P34160,P38798,P53080,P53550,Q03466,Q08920,Q12123,Q12517,Q99383
GO:0000186	e	activation of MAPKK activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q01389	
GO:0000209	p	protein polyubiquitination	4/1159	5/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P10591,P14682,P15731,P19812	P06104,P10591,P14682,P15731,P15732,P19812,P24814,P32800,P32849,P33202,P33296,P34909,P39014,P39940,P48524,P52490,P53119,P53152,Q03758,Q07963,Q08886
GO:0000217	e	DNA secondary structure binding	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P06843	
GO:0000220	p	vacuolar proton-transporting V-type ATPase, V0 domain	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32563	P25515,P32366,P32563,P32842,P37296,Q3E7B6
GO:0000221	e	vacuolar proton-transporting V-type ATPase, V1 domain	7/1159	6/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P16140,P17255,P22203,P31412,P39111,P41807,P48836	P16140,P17255,P22203,P31412,P32610,P39111,P41807,P48836
GO:0000224	p	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q02890	P32628,Q02890
GO:0000226	p	microtubule cytoskeleton organization	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P47120	P47120,P53731,Q00402
GO:0000228	e	nuclear chromosome	4/1159	2/1159	0.687	1.77e+03	1.48e+03	1.72e+03	n.a.	P06778,P18480,P25588,Q01454	P06778,P11938,P18480,P25454,P25588,P25847,P32333,P53840,Q01454,Q02793,Q04377,Q06168
GO:0000243	e	commitment complex	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P36084,Q00916,Q12186	P34160,P36084,P39682,P43321,Q00539,Q00916,Q02260,Q05900,Q08920,Q12186
GO:0000245	p	spliceosomal complex assembly	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q04693	P0C074,P38261,P43589,P49955,P49960,Q02554,Q04693,Q06835,Q07350,Q99177
GO:0000248	e	C-5 sterol desaturase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P32353	
GO:0000252	e	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P53199	
GO:0000262	e	mitochondrial chromosome	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32787,Q02486	P32580,P32787,Q02486
GO:0000266	p	mitochondrial fission	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P43588	P36130,P40515,P43588,P47025,P54861,Q00402
GO:0000272	e	polysaccharide catabolic process	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q06350	
GO:0000274	e	mitochondrial proton-transporting ATP synthase, stator stalk	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P05626,P09457,P30902	P05626,P09457,P30902
GO:0000276	p	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	1/1159	3/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	Q06405	P81449,P81450,P81451,Q06405,Q12233,Q12349
GO:0000278	p	mitotic cell cycle	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P15873,P38630	P04819,P15873,P33767,P38344,P38630,Q00684
GO:0000280	p	nuclear division	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P36049	P22204,P36049
GO:0000281	p	mitotic cytokinesis	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P32457,P32468	P25342,P27636,P32328,P32457,P32458,P32468,P32801,P53901,Q05080
GO:0000282	p	cellular bud site selection	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12114	P11433,P13856,P40994,P41698,P53226,Q08754,Q08760,Q12114,Q12465,Q99222
GO:0000287	p	magnesium ion binding	20/1159	21/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P00498,P00549,P00817,P00924,P00925,P06169,P07342,P15624,P19097,P21954,P26793,P28239,P28241,P28834,P29468,P37012,P38689,P40495,P80210,Q12265	P00498,P00549,P00817,P00924,P00925,P06169,P07342,P08425,P08678,P15624,P16467,P19097,P21954,P26263,P26793,P28239,P28241,P28834,P29468,P32626,P32660,P32895,P33401,P37012,P38063,P38620,P38628,P38689,P38860,P39524,P39994,P40495,P40527,P41939,P52489,P53215,P53982,P80210,Q03262,Q04740,Q06408,Q08220,Q12265,Q12674,Q12675,Q99312
GO:0000288	p	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1/1159	3/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P05453	P05453,P06100,P20433,P25339,P25655,P31384,P40032,P47017,P47135,Q06151,Q07807,Q12221
GO:0000289	p	nuclear-transcribed mRNA poly(A) tail shortening	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12514	P06100,P06102,P25655,P31384,P36102,P39008,P53010,Q08831,Q12514
GO:0000290	p	deadenylation-dependent decapping of nuclear-transcribed mRNA	1/1159	3/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P39517	P25644,P36041,P39517,P47017,P53080,P53550,Q06151,Q12123,Q12517
GO:0000294	e	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P33309	
GO:0000301	p	retrograde transport, vesicle recycling within Golgi	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53079	P40094,P53079,P53271,Q06096
GO:0000302	e	response to reactive oxygen species	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P06115	
GO:0000307	p	cyclin-dependent protein kinase holoenzyme complex	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P17157,P23293	P00546,P17157,P20486,P23293,P24868,P40038,P40186,P53124,Q05949,Q08966
GO:0000309	p	nicotinamide-nucleotide adenylyltransferase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q06178	P25576,P53204,Q06178
GO:0000321	e	re-entry into mitotic cell cycle after pheromone arrest	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q05040,Q3E705	P40473,P43592,P53917,Q03944,Q05040,Q06001,Q3E705
GO:0000324	p	fungal-type vacuole	8/1159	16/1159	0.149	385	374	375	n.a.	P00924,P00925,P22217,P25375,P32563,P32939,P36015,P37302	P00729,P00924,P00925,P06782,P07267,P09232,P14359,P14904,P20107,P20795,P22217,P22803,P25375,P25560,P32331,P32386,P32563,P32578,P32798,P32842,P32939,P36015,P36051,P37020,P37302,P38301,P38356,P39962,P40074,P40152,P40501,P42836,P42839,P47082,P47818,P48016,P48562,P50079,P50944,Q02933,Q03446,Q05902,Q07468,Q08919,Q12324,Q12438,Q12487,Q99385
GO:0000328	p	fungal-type vacuole lumen	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12408	P09232,P14306,P14359,P27614,P38821,Q12015,Q12408
GO:0000329	p	fungal-type vacuole membrane	20/1159	26/1159	0.457	1.18e+03	1.07e+03	1.15e+03	n.a.	P02994,P10591,P10592,P16140,P17255,P21560,P21576,P22203,P31412,P32563,P32939,P35169,P38142,P39109,P39111,P39925,P39968,P41807,P43585,Q02725	P02994,P10591,P10592,P11491,P11792,P12868,P14306,P14772,P16140,P17255,P18962,P19073,P19524,P20795,P21560,P21576,P21801,P22203,P22543,P22855,P25625,P27514,P27801,P31381,P31412,P32366,P32563,P32600,P32610,P32802,P32867,P32912,P32939,P34110,P34240,P34756,P35169,P35724,P36062,P38182,P38244,P38247,P38310,P38356,P38735,P38873,P38929,P38959,P39109,P39111,P39925,P39962,P39968,P40074,P41807,P42836,P42837,P42839,P43561,P43585,P43601,P47082,P47818,P48566,P50944,P50945,P53011,P53129,P53290,P53879,P53950,P56508,Q00362,Q00582,Q02205,Q02725,Q02887,Q03308,Q03390,Q04119,Q04121,Q04301,Q04562,Q04934,Q05521,Q06451,Q06651,Q06708,Q07468,Q08234,Q08268,Q08921,Q12016,Q12078,Q12200,Q12241,Q12255,Q12324,Q12473,Q12697,Q3E7B6,Q99385
GO:0000346	p	transcription export complex	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	Q07478,Q12159	P53851,Q07478,Q12159
GO:0000348	e	mRNA branch site recognition	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P36084	
GO:0000349	e	generation of catalytic spliceosome for first transesterification step	4/1159	1/1159	0.374	964	900	940	n.a.	P20095,P28320,P38282,Q06411	P20095,P28320,P32523,P36048,Q04048,Q06411
GO:0000350	e	generation of catalytic spliceosome for second transesterification step	4/1159	1/1159	0.374	964	900	940	n.a.	P24384,P28004,P33411,Q02775	P15938,P21374,P24384,P28004,P33334,P33411,P40968,Q02775,Q03654
GO:0000354	e	cis assembly of pre-catalytic spliceosome	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q12309	
GO:0000372	p	Group I intron splicing	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15424	P03874,P03879,P07266,P08593,P10834,P11325,P15424,P24720,P32580
GO:0000373	e	Group II intron splicing	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P15424	
GO:0000384	e	first spliceosomal transesterification activity	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P28004,P28320,Q12309	P21374,P23394,P28004,P28320,P32523,P53277,Q03654,Q04048,Q06091,Q12046,Q12309
